patient_id,cell_type,x_um,y_um
0,melanocyte,-262.62099622909716,106.12582709567842
0,melanocyte,138.55998996307602,-170.52690522217577
0,melanocyte,-48.08131409822288,-140.05495998211
0,melanocyte,118.0335264813622,79.32673709774407
0,melanocyte,226.14095084702086,-34.91129098695732
0,melanocyte,20.18275860396752,-287.88369681504935
0,melanocyte,19.075473158454834,-82.7359542607897
0,melanocyte,59.002859184780206,61.35783991187077
0,melanocyte,-255.9896917617084,82.49034271899181
0,melanocyte,-83.2741013628065,87.79159198044093
0,melanocyte,233.61545251666033,-115.78788727177432
0,melanocyte,-110.4088806966476,-140.261552479423
0,melanocyte,47.90352283222955,-97.377777873851
0,melanocyte,-307.7710153268134,114.28104399794665
0,melanocyte,12.617348433064182,87.6226777476345
0,melanocyte,-143.1656333103423,-51.1212839509196
0,melanocyte,75.92714405352537,32.188837440174034
0,melanocyte,37.065196656200875,-69.86467490742176
0,melanocyte,-35.57191996654672,-38.68306618942211
0,melanocyte,4.068156726986528,-79.98647605271562
0,melanocyte,-68.2841087073812,88.57483043183616
0,melanocyte,52.78458947773216,-9.829470175069837
0,melanocyte,100.27629886785549,-79.69594419037877
0,melanocyte,40.32855358879526,-223.73204558216824
0,melanocyte,87.45281157498519,241.1902136577736
0,melanocyte,-176.28245274644743,37.40709288427231
0,melanocyte,187.85733583611957,53.04976455641189
0,melanocyte,169.84534548980136,247.53553976590572
0,melanocyte,-86.56033525084189,-193.4865187836124
0,melanocyte,-1.9664427749691036,-59.729935248873765
0,melanocyte,127.02148671895404,-26.29678486210603
0,melanocyte,-66.07769168390924,128.0389241654324
0,melanocyte,-115.07391917670932,121.83415006286846
0,melanocyte,-234.1120939191161,45.33679742863502
0,melanocyte,79.0526483767019,197.7426959881435
0,melanocyte,40.89238210889447,43.50294826516866
0,melanocyte,-205.64757324178288,31.638324426520654
0,melanocyte,39.0584622643699,267.3233421246377
0,melanocyte,-39.46112031490748,-71.58122061595682
0,melanocyte,-219.14205539847362,91.33362873626307
0,melanocyte,40.750854951970396,-71.25835226996948
0,melanocyte,-86.15040312649053,-266.6541678657318
0,melanocyte,-43.665457361336905,105.66808451610626
0,melanocyte,127.1186794773354,-223.64637212084568
0,melanocyte,117.13702477705067,-326.8783173630549
0,melanocyte,-230.2058859045219,196.66849255546376
0,melanocyte,-66.55966566355438,271.0208591853374
0,melanocyte,-134.58584314642994,-298.05215173667494
0,melanocyte,145.232867668657,175.00152815027192
0,melanocyte,70.39625764675762,216.23295427401717
0,melanocyte,102.53000405845586,4.746270636090946
0,melanocyte,53.930138460410134,-228.26909296593678
0,melanocyte,-83.92207335733266,-141.60145973456977
0,melanocyte,-84.61567498115762,-292.38273088076954
